out:Location,out:House,out:Construction,out:EUI Heating (kBTU/sf),out:Peak Heating (kW),out:EUI Cooling (kBTU/sf),out:Peak Cooling(kW)
Los Angeles,GLOS,Wood_Frame_adjusted_CLZ_3,3514,6444237,2522,537696
Los Angeles,GLOS,CMU_CLZ_3_4,3387,6782163,251,5210065
Baltimore,GLOS,2BeadWall_U0.033,26344,15319044,5903,6071626
Baltimore,GLOS,3BeadWall_U0.052,26931,15787114,6,6133647
Baltimore,GLOS,2BeadWall_U0.060,27263,1595001,6114,6252827
Baltimore,GLOS,2BeadWall_U0.071,27602,16180515,6193,6319162
Baltimore,GLOS,2BeadWall_0.028,26199,15219333,5866,6042567
Baltimore,GLOS,2BeadWall_0.043,26665,15538121,5975,6134783
Baltimore,GLOS,Wood_Frame_adjusted_CLZ_4_5_6_7_8,27045,1571988,6247,6681737
Baltimore,GLOS,CMU_CLZ_3_4,2834,16819931,6574,6698353
Albuquerque,GLOS,2BeadWall_U0.033,18421,11794231,4971,5578447
Albuquerque,GLOS,3BeadWall_U0.052,18869,12168873,505,562379
Albuquerque,GLOS,2BeadWall_U0.060,19153,12373226,514,5729608
Albuquerque,GLOS,2BeadWall_U0.071,19419,12584395,5207,5785004
Albuquerque,GLOS,2BeadWall_0.028,18307,11702636,4947,555411
Albuquerque,GLOS,2BeadWall_0.043,18675,11995402,5032,5631363
Albuquerque,GLOS,Wood_Frame_adjusted_CLZ_4_5_6_7_8,19117,12110102,5346,6182781
Albuquerque,GLOS,CMU_CLZ_3_4,19994,13119431,5582,6138145
Chicago,GLOS,2BeadWall_U0.033,30831,19352996,7729,6342751
Chicago,GLOS,3BeadWall_U0.052,3163,19925175,7868,6409891
Chicago,GLOS,2BeadWall_U0.060,31944,20130146,7983,6551245
Chicago,GLOS,2BeadWall_U0.071,32349,20415085,808,6629666
Chicago,GLOS,2BeadWall_0.028,30656,19230593,7693,6309885
Chicago,GLOS,2BeadWall_0.043,31218,19622371,782,6414485
Chicago,GLOS,Wood_Frame_adjusted_CLZ_4_5_6_7_8,31291,19832827,8019,6925168
Chicago,GLOS,CMU_CLZ_5_4C,31823,20309397,8146,6798996
Boulder,GLOS,2BeadWall_U0.033,27045,16251772,3665,5422856
Boulder,GLOS,3BeadWall_U0.052,27747,16813865,3689,5444958
Boulder,GLOS,2BeadWall_U0.060,28122,17012811,3774,555755
Boulder,GLOS,2BeadWall_U0.071,28515,1728937,381,5606866
Boulder,GLOS,2BeadWall_0.028,2687,16131026,3647,5401102
Boulder,GLOS,2BeadWall_0.043,2742,16516597,3701,5469835
Boulder,GLOS,Wood_Frame_adjusted_CLZ_4_5_6_7_8,27862,16722685,4052,5985293
Boulder,GLOS,CMU_CLZ_5_4C,28146,17185771,3998,5831419
Seattle,GLOS,2BeadWall_U0.033,21445,11484407,883,4999912
Seattle,GLOS,3BeadWall_U0.052,21965,118013,865,5007509
Seattle,GLOS,2BeadWall_U0.060,22274,11985082,919,5140574
Seattle,GLOS,2BeadWall_U0.071,2257,12167932,937,5192714
Seattle,GLOS,2BeadWall_0.028,21312,11405247,877,4977219
Seattle,GLOS,2BeadWall_0.043,2173,11658285,895,5049129
Seattle,GLOS,Wood_Frame_adjusted_CLZ_4_5_6_7_8,22135,11760369,1143,5634115
Seattle,GLOS,CMU_CLZ_5_4C,22419,12065858,1064,5444533
Minneapolis,GLOS,2BeadWall_U0.033,43495,23133023,5098,6193556
Minneapolis,GLOS,3BeadWall_U0.052,44693,23790229,5159,6242961
Minneapolis,GLOS,2BeadWall_U0.060,44959,24029833,5274,6384854
Minneapolis,GLOS,2BeadWall_U0.071,45497,24357579,534,6455704
Minneapolis,GLOS,2BeadWall_0.028,43265,22991376,5068,6163017
Minneapolis,GLOS,2BeadWall_0.043,44003,23444302,5159,6260135
Minneapolis,GLOS,Wood_Frame_adjusted_CLZ_4_5_6_7_8,43906,23674662,5449,678472
Minneapolis,GLOS,CMU_CLZ_6,44348,24053042,5443,6623717
Helena,GLOS,2BeadWall_U0.033,40743,21499066,2056,6007889
Helena,GLOS,3BeadWall_U0.052,41826,22169844,2062,6035147
Helena,GLOS,2BeadWall_U0.060,42262,22414407,2135,6161463
Helena,GLOS,2BeadWall_U0.071,42818,22745433,2165,6217535
Helena,GLOS,2BeadWall_0.028,40502,21353518,2044,5982937
Helena,GLOS,2BeadWall_0.043,4127,21818147,208,6061797
Helena,GLOS,Wood_Frame_adjusted_CLZ_4_5_6_7_8,41615,22050126,2371,664524
Helena,GLOS,CMU_CLZ_6,41935,22434212,2304,6440687
Duluth,GLOS,2BeadWall_U0.033,42836,23440625,883,4481349
Duluth,GLOS,3BeadWall_U0.052,4413,24035412,865,4513725
Duluth,GLOS,2BeadWall_U0.060,44293,24353912,925,460817
Duluth,GLOS,2BeadWall_U0.071,44832,24688178,943,4654495
Duluth,GLOS,2BeadWall_0.028,42606,23296536,877,4460798
Duluth,GLOS,2BeadWall_0.043,43344,23757453,901,452573
Duluth,GLOS,Wood_Frame_adjusted_CLZ_4_5_6_7_8,42818,23919792,1095,5047423
Duluth,GLOS,CMU_CLZ_7_8,42679,23887416,1034,4818437
Fairbanks,GLOS,2BeadWall_U0.033,40925,32693883,218,4292516
Fairbanks,GLOS,3BeadWall_U0.052,42322,33542212,212,4359364
Fairbanks,GLOS,2BeadWall_U0.060,42134,33831706,242,4462537
Fairbanks,GLOS,2BeadWall_U0.071,4257,34241321,254,4524579
Fairbanks,GLOS,2BeadWall_0.028,40731,32510018,212,4265807
Fairbanks,GLOS,2BeadWall_0.043,41348,33094784,224,4351795
Fairbanks,GLOS,Wood_Frame_adjusted_CLZ_4_5_6_7_8,39885,33383551,333,489808
Fairbanks,GLOS,CMU_CLZ_7_8,39824,33342174,296,4663632
